year,team,payroll,wins,playoff_wins,ws_wins,location
2016,Diamondbacks,70762833,69,,,Arizona
2016,Braves,87622648,68,,,Atlanta
2016,Orioles,115587632,89,,,Baltimore
2016,Red Sox,182161414,93,,,Boston
2016,Cubs,116654522,103,,,Chicago
2016,White Sox,98712867,78,,,Chicago
2016,Reds,116732284,68,,,Cincinnati
2016,Indians,86339067,94,,,Cleveland
2016,Rockies,98261171,75,,,Colorado
2016,Tigers,172282250,86,,,Detroit
2016,Astros,69064200,84,,,Houston
2016,Royals,112914525,81,,,Kansas City
2016,Angels,146449583,74,,,Los Angeles
2016,Dodgers,223352402,91,,,Los Angeles 
2016,Marlins,84637500,79,,,Miami
2016,Brewers,98683035,73,,,Milwaukee
2016,Twins,108262000,59,,,Minnesota
2016,Yankees,213472857,84,,,New York
2016,Mets,99626453,87,,,New York
2016,Athletics,80279166,69,,,Oakland
2016,Phillies,133048000,71,,,Philadelphia
2016,Pirates,85885832,78,,,Pittsburgh
2016,Padres,112895700,68,,,San Diego
2016,Giants,166495942,87,,,San Francisco
2016,Mariners,122706842,86,,,Seattle
2016,Cardinals,120301957,86,,,St. Louis
2016,Devil Rays,73649584,68,,,Tampa Bay
2016,Rangers,144307373,95,,,Texas
2016,Blue Jays,126369628,89,,,Toronto
2016,Nationals,166010977,95,,,Washington
2015,Diamondbacks,91518833,79,,,Arizona
2015,Yankees,219282196,87,,,New York
2015,Red Sox,187407202,78,,,Boston
2015,Tigers,173813750,74,,,Detroit
2015,Braves,97578565,67,,,Atlanta
2015,Cubs,119006885,97,,,Chicago
2015,Reds,117197072,64,,,Cincinnati
2015,Rockies,102006130,68,,,Colorado
2015,Astros,70910100,86,,,Houston
2015,Blue Jays,122506600,93,,,Toronto
2015,Angels,150933083,85,,,Los Angeles
2015,Dodgers,272789040,92,,,Los Angeles 
2015,Marlins,68479000,71,,,Miami
2015,Brewers,105002536,68,,,Milwaukee
2015,White Sox,115238678,76,,,Chicago
2015,Royals,113618650,95,,,Kansas City
2015,Orioles,110146097,81,,,Baltimore
2015,Twins,108945000,83,,,Minnesota
2015,Mets,101409244,90,,,New York
2015,Athletics,86086667,68,,,Oakland
2015,Phillies,135827500,63,,,Philadelphia
2015,Pirates,88278500,98,,,Pittsburgh
2015,Padres,100675896,74,,,San Diego
2015,Giants,172672111,84,,,San Francisco
2015,Mariners,119798060,76,,,Seattle
2015,Indians,86091175,81,,,Cleveland
2015,Cardinals,120869458,100,,,St. Louis
2015,Devil Rays,76061707,80,,,Tampa Bay
2015,Rangers,142140873,88,,,Texas
2015,Nationals,164920505,83,,,Washington
2014,Dodgers,235295219,94,,,Los Angeles 
2014,Yankees,203812506,84,,0,New York
2014,Phillies,180052723,73,,,Philadelphia
2014,Red Sox,162817411,71,,,Boston
2014,Tigers,162228527,90,,,Detroit
2014,Angels,155692000,98,,,Los Angeles
2014,Giants,154185878,88,,,San Francisco
2014,Rangers,136036172,67,,,Texas
2014,Nationals,134704437,96,,,Washington
2014,Blue Jays,132628700,83,,,Toronto
2014,Diamondbacks,112688666,64,,,Arizona
2014,Reds,112390772,76,,,Cincinnati
2014,Cardinals,111020360,90,,,St. Louis
2014,Braves,110897341,79,,,Atlanta
2014,Orioles,107406623,96,,,Baltimore
2014,Brewers,103844806,82,,,Milwaukee
2014,Rockies,95832071,66,,,Colorado
2014,Mariners,92081943,87,,,Seattle
2014,Royals,92034345,89,,,Kansas City
2014,White Sox,91159254,73,,,Chicago
2014,Padres,90094196,77,,,San Diego
2014,Mets,89051758,79,,,New York
2014,Cubs,89007857,73,,,Chicago
2014,Twins,85776500,70,,,Minnesota
2014,Athletics,83401400,88,,,Oakland
2014,Indians,82534800,85,,,Cleveland
2014,Pirates,78111667,88,,,Pittsburgh
2014,Devil Rays,77062891,77,,,Tampa Bay
2014,Marlins,47565400,77,,,Miami
2014,Astros,44544174,70,,,Houston
2013,Diamondbacks,89100500,81,,81,Arizona
2013,Braves,89778192,96,,96,Atlanta
2013,Orioles,90993333,85,,,Baltimore
2013,Red Sox,150655500,97,,,Boston
2013,White Sox,119073277,63,,,Chicago
2013,Cubs,104304676,66,,,Chicago
2013,Reds,107491305,90,,,Cincinnati
2013,Indians,77772800,92,,,Cleveland
2013,Rockies,71924071,74,,74,Colorado
2013,Tigers,148414500,93,,,Detroit
2013,Astros,22062600,51,,,Houston
2013,Royals,81491725,86,,,Kansas City
2013,Angels,127896250,78,,,Los Angeles
2013,Dodgers,216597577,92,,92,Los Angeles 
2013,Marlins,36341900,62,,62,Miami
2013,Brewers,82976944,74,,,Milwaukee
2013,Twins,75802500,66,,,Minnesota
2013,Yankees,228835490,85,,,New York
2013,Mets,73396649,74,,74,New York
2013,Athletics,60664500,96,,,Oakland
2013,Phillies,165385714,73,,73,Philadelphia
2013,Pirates,79555000,94,,,Pittsburgh
2013,Padres,67143600,76,,76,San Diego
2013,Giants,140264334,76,,76,San Francisco
2013,Mariners,72031143,71,,,Seattle
2013,Cardinals,115222086,97,,,St. Louis
2013,Devil Rays,57895272,91,,,Tampa Bay
2013,Rangers,114090100,91,,,Texas
2013,Blue Jays,117527800,74,,,Toronto
2013,Nationals,114056769,86,,86,Washington
2012,Diamondbacks,74284833,81,,,Arizona
2012,Braves,83309942,94,,,Atlanta
2012,Orioles,81428999,93,,,Baltimore
2012,Red Sox,173186617,69,,,Boston
2012,White Sox,96919500,85,,,Chicago
2012,Cubs,88197033,61,,,Chicago
2012,Reds,82203616,97,,,Cincinnati
2012,Indians,78430300,68,,,Cleveland
2012,Rockies,78069571,64,,,Colorado
2012,Tigers,132300000,88,,,Detroit
2012,Astros,60651000,55,,,Houston
2012,Royals,60916225,72,,,Kansas City
2012,Angels,154485166,89,,,Los Angeles
2012,Dodgers,95143575,86,,,Los Angeles 
2012,Marlins,118078000,69,,,Miami
2012,Brewers,97653944,83,,,Milwaukee
2012,Twins,94085000,66,,,Minnesota
2012,Yankees,197962289,95,,,New York
2012,Mets,93353983,74,,,New York
2012,Athletics,55372500,94,,,Oakland
2012,Phillies,174538938,81,,,Philadelphia
2012,Pirates,63431999,79,,,Pittsburgh
2012,Padres,55244700,76,,,San Diego
2012,Giants,117620683,94,,,San Francisco
2012,Mariners,81978100,75,,,Seattle
2012,Cardinals,110300862,88,,,St. Louis
2012,Devil Rays,64173500,90,,,Tampa Bay
2012,Rangers,120510974,93,,,Texas
2012,Blue Jays,75489200,73,,,Toronto
2012,Nationals,81336143,98,,,Washington
2011,Diamondbacks,53639833,94,,,Arizona
2011,Braves,87003192,89,,,Atlanta
2011,Orioles,85304038,69,,,Baltimore
2011,Red Sox,161407476,90,,,Boston
2011,White Sox,129285539,79,,,Chicago
2011,Cubs,125480664,71,,,Chicago
2011,Reds,76181365,79,,,Cincinnati
2011,Indians,49188867,80,,,Cleveland
2011,Rockies,87998071,73,,,Colorado
2011,Tigers,105705232,95,,,Detroit
2011,Marlins,56944000,72,,,Florida
2011,Astros,70694000,56,,,Houston
2011,Royals,36126400,71,,,Kansas City
2011,Angels,138998524,86,,,Los Angeles
2011,Dodgers,103788990,82,,,Los Angeles 
2011,Brewers,85497333,96,,,Milwaukee
2011,Twins,112737000,63,,,Minnesota
2011,Yankees,201689030,97,,,New York
2011,Mets,120147310,77,,,New York
2011,Athletics,66536500,74,,,Oakland
2011,Phillies,172976381,102,,,Philadelphia
2011,Pirates,46047000,72,,,Pittsburgh
2011,Padres,45869140,71,,,San Diego
2011,Giants,118216333,86,,,San Francisco
2011,Mariners,86424600,67,,,Seattle
2011,Cardinals,105433572,90,,,St. Louis
2011,Devil Rays,41932171,91,,,Tampa Bay
2011,Rangers,92299265,96,,,Texas
